"arc_length","flux"
0,4.17636e+10
0.32489,4.6284e+10
0.649796,5.08341e+10
0.974701,5.54127e+10
1.29959,6.00184e+10
1.6245,6.46507e+10
1.9494,6.93085e+10
2.27429,7.39906e+10
2.5992,7.86967e+10
2.9241,8.34258e+10
3.24899,8.81767e+10
3.5739,9.29493e+10
3.8988,9.77426e+10
4.22369,1.02556e+11
4.5486,1.07388e+11
4.87349,1.1224e+11
5.19839,1.17109e+11
5.5233,1.21997e+11
5.84819,1.26901e+11
6.1731,1.31822e+11
6.498,1.36758e+11
6.82289,1.41711e+11
7.1478,1.46678e+11
7.4727,1.5166e+11
7.79759,1.56656e+11
8.1225,1.61667e+11
8.4474,1.6669e+11
8.77229,1.72256e+11
9.0972,1.78162e+11
9.4221,1.84183e+11
9.74699,1.90321e+11
10.0719,1.96581e+11
10.3968,2.02966e+11
10.7217,2.0948e+11
11.0466,2.16126e+11
11.3715,2.22909e+11
11.6964,2.29834e+11
12.0213,2.36904e+11
12.3462,2.44125e+11
12.6711,2.51501e+11
12.996,2.59037e+11
13.3209,2.66739e+11
13.6458,2.74612e+11
13.9707,2.82662e+11
14.2956,2.90895e+11
14.6205,2.99317e+11
14.9454,3.07936e+11
15.2703,3.16757e+11
15.5952,3.25789e+11
15.9201,3.35038e+11
16.245,3.44514e+11
16.5699,3.54224e+11
16.8948,3.64176e+11
17.2197,3.93351e+11
17.5446,4.54929e+11
17.8695,5.16224e+11
18.1944,5.77252e+11
18.5193,6.38018e+11
18.8442,6.98531e+11
19.1691,7.58804e+11
19.494,8.18843e+11
19.8189,8.78654e+11
20.1438,9.38248e+11
20.4687,9.97632e+11
20.7936,1.05681e+12
21.1185,1.11579e+12
21.4434,1.17458e+12
21.7683,1.23319e+12
22.0932,1.29162e+12
22.4181,1.34987e+12
22.743,1.40795e+12
23.0679,1.46588e+12
23.3928,1.52364e+12
23.7177,1.58126e+12
24.0426,1.63872e+12
24.3675,1.69604e+12
24.6924,1.75322e+12
25.0173,1.81027e+12
25.3422,1.86718e+12
25.6671,1.92448e+12
25.992,1.99145e+12
26.3169,2.05948e+12
26.6418,2.12861e+12
26.9667,2.19886e+12
27.2916,2.27027e+12
27.6165,2.34287e+12
27.9414,2.41671e+12
28.2663,2.49181e+12
28.5912,2.56823e+12
28.9161,2.64599e+12
29.241,2.72515e+12
29.5659,2.80574e+12
29.8908,2.88782e+12
30.2157,2.97143e+12
30.5406,3.05662e+12
30.8655,3.14345e+12
31.1904,3.23198e+12
31.5153,3.32226e+12
31.8402,3.41434e+12
32.1651,3.50831e+12
32.49,3.60421e+12
32.8149,3.70213e+12
33.1398,3.80214e+12
33.4647,3.90431e+12
33.7896,4.00872e+12
34.1145,4.11546e+12
34.4394,4.34836e+12
34.7643,4.62172e+12
35.0892,4.89056e+12
35.4141,5.15505e+12
35.739,5.41534e+12
36.0639,5.67158e+12
36.3888,5.92392e+12
36.7137,6.17249e+12
37.0386,6.41741e+12
37.3635,6.65881e+12
37.6884,6.89682e+12
38.0133,7.13154e+12
38.3382,7.36307e+12
38.6631,7.59152e+12
38.988,7.817e+12
39.3129,8.03959e+12
39.6378,8.25939e+12
39.9627,8.47648e+12
40.2876,8.69094e+12
40.6125,8.90286e+12
40.9374,9.11231e+12
41.2623,9.31937e+12
41.5872,9.5241e+12
41.9121,9.72658e+12
42.237,9.92687e+12
42.5619,1.0125e+13
42.8868,1.03422e+13
43.2117,1.05893e+13
43.5366,1.08389e+13
43.8615,1.1091e+13
44.1864,1.13456e+13
44.5113,1.16029e+13
44.8362,1.18629e+13
45.1611,1.21258e+13
45.486,1.23915e+13
45.8109,1.26602e+13
46.1358,1.2932e+13
46.4607,1.3207e+13
46.7856,1.34853e+13
47.1105,1.37669e+13
47.4354,1.40521e+13
47.7603,1.43408e+13
48.0852,1.46333e+13
48.4101,1.49297e+13
48.735,1.52301e+13
49.0599,1.55347e+13
49.3848,1.58435e+13
49.7097,1.61567e+13
50.0346,1.64746e+13
50.3595,1.67972e+13
50.6844,1.71248e+13
51.0093,1.74576e+13
51.3342,1.78194e+13
51.6591,1.83777e+13
51.984,1.89219e+13
52.3089,1.94525e+13
52.6338,1.997e+13
52.9587,2.04748e+13
53.2836,2.09675e+13
53.6085,2.14483e+13
53.9334,2.19178e+13
54.2583,2.23763e+13
54.5832,2.28241e+13
54.9081,2.32618e+13
55.233,2.36894e+13
55.5579,2.41075e+13
55.8828,2.45163e+13
56.2077,2.49161e+13
56.5326,2.53072e+13
56.8575,2.56899e+13
57.1824,2.60644e+13
57.5073,2.64309e+13
57.8322,2.67898e+13
58.1571,2.71412e+13
58.482,2.74854e+13
58.8069,2.78226e+13
59.1318,2.81529e+13
59.4567,2.84766e+13
59.7816,2.87939e+13
60.1065,2.91992e+13
60.4314,2.9631e+13
60.7563,3.0065e+13
61.0812,3.05014e+13
61.4061,3.09402e+13
61.731,3.13815e+13
62.0559,3.18254e+13
62.3808,3.22719e+13
62.7057,3.27211e+13
63.0306,3.31731e+13
63.3555,3.3628e+13
63.6804,3.40858e+13
64.0053,3.45468e+13
64.3302,3.5011e+13
64.6551,3.54784e+13
64.98,3.59492e+13
65.3049,3.64236e+13
65.6298,3.69016e+13
65.9547,3.73833e+13
66.2796,3.7869e+13
66.6045,3.83587e+13
66.9294,3.88525e+13
67.2543,3.93507e+13
67.5792,3.98534e+13
67.9041,4.03607e+13
68.229,4.08729e+13
68.5539,4.14521e+13
68.8788,4.20862e+13
69.2037,4.26998e+13
69.5286,4.32938e+13
69.8535,4.38689e+13
70.1784,4.44257e+13
70.5033,4.49648e+13
70.8282,4.54869e+13
71.1531,4.59926e+13
71.478,4.64825e+13
71.8029,4.69569e+13
72.1278,4.74166e+13
72.4527,4.78618e+13
72.7776,4.82932e+13
73.1025,4.87112e+13
73.4274,4.91162e+13
73.7523,4.95085e+13
74.0772,4.98886e+13
74.4021,5.0257e+13
74.727,5.06138e+13
75.0519,5.09595e+13
75.3768,5.12944e+13
75.7017,5.16188e+13
76.0266,5.19331e+13
76.3515,5.22375e+13
76.6764,5.25323e+13
77.0013,5.28421e+13
77.3262,5.3278e+13
77.6511,5.3715e+13
77.976,5.4153e+13
78.3009,5.45921e+13
78.6258,5.50324e+13
78.9507,5.54738e+13
79.2756,5.59165e+13
79.6005,5.63603e+13
79.9254,5.68055e+13
80.2503,5.7252e+13
80.5752,5.76998e+13
80.9001,5.8149e+13
81.225,5.85997e+13
81.5499,5.90519e+13
81.8748,5.95056e+13
82.1997,5.9961e+13
82.5246,6.0418e+13
82.8495,6.08767e+13
83.1744,6.13371e+13
83.4993,6.17994e+13
83.8242,6.22636e+13
84.1491,6.27298e+13
84.474,6.3198e+13
84.7989,6.36684e+13
85.1238,6.41409e+13
85.4487,6.46157e+13
85.7736,6.49676e+13
86.0985,6.52787e+13
86.4234,6.55713e+13
86.7483,6.58461e+13
87.0732,6.61039e+13
87.3981,6.63451e+13
87.723,6.65704e+13
88.0479,6.67803e+13
88.3728,6.69753e+13
88.6977,6.7156e+13
89.0226,6.73228e+13
89.3475,6.74761e+13
89.6724,6.76165e+13
89.9973,6.77443e+13
90.3222,6.786e+13
90.6471,6.79638e+13
90.972,6.80563e+13
91.2969,6.81377e+13
91.6218,6.82084e+13
91.9467,6.82687e+13
92.2716,6.83189e+13
92.5965,6.83594e+13
92.9214,6.83903e+13
93.2463,6.84121e+13
93.5712,6.84248e+13
93.8961,6.84289e+13
94.221,6.84603e+13
94.5459,6.85185e+13
94.8708,6.85724e+13
95.1957,6.86218e+13
95.5206,6.86665e+13
95.8455,6.87065e+13
96.1704,6.87416e+13
96.4953,6.87716e+13
96.8202,6.87964e+13
97.1451,6.88158e+13
97.47,6.88297e+13
97.7949,6.88378e+13
98.1198,6.884e+13
98.4447,6.88361e+13
98.7696,6.88259e+13
99.0945,6.88092e+13
99.4194,6.87857e+13
99.7443,6.87553e+13
100.069,6.87176e+13
100.394,6.86725e+13
100.719,6.86196e+13
101.044,6.85588e+13
101.369,6.84896e+13
101.694,6.84118e+13
102.019,6.83251e+13
102.343,6.82292e+13
102.668,6.80576e+13
102.993,6.76322e+13
103.318,6.72033e+13
103.643,6.67708e+13
103.968,6.6335e+13
104.293,6.5896e+13
104.618,6.54539e+13
104.943,6.50087e+13
105.268,6.45607e+13
105.592,6.41098e+13
105.917,6.36562e+13
106.242,6.32e+13
106.567,6.27413e+13
106.892,6.22801e+13
107.217,6.18165e+13
107.542,6.13507e+13
107.867,6.08826e+13
108.192,6.04123e+13
108.517,5.994e+13
108.841,5.94656e+13
109.166,5.89893e+13
109.491,5.8511e+13
109.816,5.80309e+13
110.141,5.7549e+13
110.466,5.70654e+13
110.791,5.65801e+13
111.116,5.60931e+13
111.441,5.56392e+13
111.766,5.51828e+13
112.09,5.47192e+13
112.415,5.42483e+13
112.74,5.37698e+13
113.065,5.32835e+13
113.39,5.27892e+13
113.715,5.22866e+13
114.04,5.17754e+13
114.365,5.12555e+13
114.69,5.07264e+13
115.015,5.01879e+13
115.339,4.96398e+13
115.664,4.90817e+13
115.989,4.85132e+13
116.314,4.7934e+13
116.639,4.73438e+13
116.964,4.67421e+13
117.289,4.61286e+13
117.614,4.55029e+13
117.939,4.48645e+13
118.264,4.4213e+13
118.589,4.35478e+13
118.913,4.28686e+13
119.238,4.21747e+13
119.563,4.14656e+13
119.888,4.08785e+13
120.213,4.03908e+13
120.538,3.99063e+13
120.863,3.94249e+13
121.188,3.89464e+13
121.513,3.84709e+13
121.837,3.79981e+13
122.162,3.7528e+13
122.487,3.70605e+13
122.812,3.65955e+13
123.137,3.61329e+13
123.462,3.56726e+13
123.787,3.52146e+13
124.112,3.47587e+13
124.437,3.4305e+13
124.762,3.38534e+13
125.087,3.34037e+13
125.411,3.29559e+13
125.736,3.251e+13
126.061,3.20659e+13
126.386,3.16236e+13
126.711,3.11829e+13
127.036,3.07439e+13
127.361,3.03066e+13
127.686,2.98707e+13
128.011,2.94364e+13
128.335,2.90453e+13
128.66,2.87713e+13
128.985,2.84967e+13
129.31,2.82214e+13
129.635,2.79453e+13
129.96,2.76686e+13
130.285,2.73912e+13
130.61,2.71129e+13
130.935,2.68339e+13
131.26,2.65541e+13
131.585,2.62734e+13
131.909,2.59919e+13
132.234,2.57095e+13
132.559,2.54262e+13
132.884,2.51419e+13
133.209,2.48566e+13
133.534,2.45704e+13
133.859,2.42831e+13
134.184,2.39947e+13
134.509,2.37051e+13
134.833,2.34145e+13
135.158,2.31226e+13
135.483,2.28294e+13
135.808,2.2535e+13
136.133,2.22393e+13
136.458,2.19421e+13
136.783,2.16435e+13
137.108,2.1657e+13
137.433,2.16817e+13
137.758,2.17003e+13
138.082,2.17129e+13
138.407,2.17198e+13
138.732,2.17212e+13
139.057,2.17173e+13
139.382,2.17083e+13
139.707,2.16943e+13
140.032,2.16755e+13
140.357,2.1652e+13
140.682,2.16241e+13
141.007,2.15919e+13
141.331,2.15554e+13
141.656,2.15149e+13
141.981,2.14705e+13
142.306,2.14223e+13
142.631,2.13704e+13
142.956,2.13149e+13
143.281,2.12559e+13
143.606,2.11936e+13
143.931,2.1128e+13
144.256,2.10592e+13
144.581,2.09874e+13
144.905,2.09126e+13
145.23,2.08348e+13
145.555,2.07677e+13
145.88,2.0707e+13
146.205,2.06452e+13
146.53,2.05823e+13
146.855,2.05181e+13
147.18,2.04527e+13
147.505,2.03861e+13
147.829,2.03181e+13
148.154,2.02488e+13
148.479,2.01782e+13
148.804,2.01061e+13
149.129,2.00325e+13
149.454,1.99573e+13
149.779,1.98807e+13
150.104,1.98023e+13
150.429,1.97224e+13
150.754,1.96406e+13
151.078,1.95571e+13
151.403,1.94717e+13
151.728,1.93844e+13
152.053,1.92951e+13
152.378,1.92037e+13
152.703,1.91102e+13
153.028,1.90145e+13
153.353,1.89165e+13
153.678,1.88161e+13
154.003,1.87501e+13
154.327,1.87632e+13
154.652,1.87763e+13
154.977,1.87894e+13
155.302,1.88025e+13
155.627,1.88156e+13
155.952,1.88288e+13
156.277,1.88419e+13
156.602,1.8855e+13
156.927,1.88681e+13
157.252,1.88812e+13
157.576,1.88943e+13
157.901,1.89074e+13
158.226,1.89206e+13
158.551,1.89337e+13
158.876,1.89468e+13
159.201,1.89599e+13
159.526,1.8973e+13
159.851,1.89861e+13
160.176,1.89992e+13
160.501,1.90123e+13
160.826,1.90255e+13
161.15,1.90386e+13
161.475,1.90517e+13
161.8,1.90648e+13
162.125,1.90779e+13
162.45,1.9091e+13
162.775,1.90778e+13
163.1,1.90646e+13
163.425,1.90513e+13
163.75,1.90381e+13
164.074,1.90249e+13
164.399,1.90117e+13
164.724,1.89984e+13
165.049,1.89852e+13
165.374,1.8972e+13
165.699,1.89587e+13
166.024,1.89455e+13
166.349,1.89323e+13
166.674,1.89191e+13
166.999,1.89058e+13
167.324,1.88926e+13
167.648,1.88794e+13
167.973,1.88661e+13
168.298,1.88529e+13
168.623,1.88397e+13
168.948,1.88265e+13
169.273,1.88132e+13
169.598,1.88e+13
169.923,1.87868e+13
170.248,1.87735e+13
170.572,1.87603e+13
170.897,1.87471e+13
171.222,1.8813e+13
171.547,1.89133e+13
171.872,1.90112e+13
172.197,1.91068e+13
172.522,1.92002e+13
172.847,1.92915e+13
173.172,1.93807e+13
173.497,1.9468e+13
173.822,1.95532e+13
174.146,1.96367e+13
174.471,1.97183e+13
174.796,1.97982e+13
175.121,1.98765e+13
175.446,1.99531e+13
175.771,2.00281e+13
176.096,2.01016e+13
176.421,2.01736e+13
176.746,2.02442e+13
177.07,2.03135e+13
177.395,2.03813e+13
177.72,2.04479e+13
178.045,2.05132e+13
178.37,2.05773e+13
178.695,2.06402e+13
179.02,2.07019e+13
179.345,2.07625e+13
179.67,2.08296e+13
179.995,2.09072e+13
180.319,2.09819e+13
180.644,2.10536e+13
180.969,2.11223e+13
181.294,2.11878e+13
181.619,2.125e+13
181.944,2.13089e+13
182.269,2.13643e+13
182.594,2.14162e+13
182.919,2.14643e+13
183.244,2.15086e+13
183.568,2.1549e+13
183.893,2.15854e+13
184.218,2.16175e+13
184.543,2.16454e+13
184.868,2.16687e+13
185.193,2.16874e+13
185.518,2.17013e+13
185.843,2.17103e+13
186.168,2.17141e+13
186.493,2.17127e+13
186.818,2.17057e+13
187.142,2.1693e+13
187.467,2.16743e+13
187.792,2.16496e+13
188.117,2.1636e+13
188.442,2.19344e+13
188.767,2.22313e+13
189.092,2.25269e+13
189.417,2.28211e+13
189.742,2.3114e+13
190.066,2.34057e+13
190.391,2.36961e+13
190.716,2.39855e+13
191.041,2.42737e+13
191.366,2.45608e+13
191.691,2.48468e+13
192.016,2.51319e+13
192.341,2.5416e+13
192.666,2.56991e+13
192.991,2.59813e+13
193.315,2.62626e+13
193.64,2.65431e+13
193.965,2.68227e+13
194.29,2.71015e+13
194.615,2.73796e+13
194.94,2.76568e+13
195.265,2.79334e+13
195.59,2.82092e+13
195.915,2.84843e+13
196.24,2.87588e+13
196.564,2.90326e+13
196.889,2.94234e+13
197.214,2.98575e+13
197.539,3.0293e+13
197.864,3.07302e+13
198.189,3.11689e+13
198.514,3.16093e+13
198.839,3.20513e+13
199.164,3.24952e+13
199.489,3.29408e+13
199.813,3.33883e+13
200.138,3.38377e+13
200.463,3.42891e+13
200.788,3.47425e+13
201.113,3.5198e+13
201.438,3.56558e+13
201.763,3.61157e+13
202.088,3.6578e+13
202.413,3.70428e+13
202.738,3.751e+13
203.062,3.79798e+13
203.387,3.84523e+13
203.712,3.89275e+13
204.037,3.94056e+13
204.362,3.98867e+13
204.687,4.03709e+13
205.012,4.08583e+13
205.337,4.1445e+13
205.662,4.21537e+13
205.987,4.28472e+13
206.311,4.35261e+13
206.636,4.41908e+13
206.961,4.4842e+13
207.286,4.548e+13
207.611,4.61053e+13
207.936,4.67185e+13
208.261,4.73198e+13
208.586,4.79096e+13
208.911,4.84885e+13
209.236,4.90566e+13
209.561,4.96144e+13
209.885,5.01623e+13
210.21,5.07004e+13
210.535,5.12291e+13
210.86,5.17488e+13
211.185,5.22597e+13
211.51,5.2762e+13
211.835,5.3256e+13
212.16,5.3742e+13
212.485,5.42202e+13
212.809,5.46909e+13
213.134,5.51541e+13
213.459,5.56103e+13
213.784,5.60639e+13
214.109,5.65506e+13
214.434,5.70356e+13
214.759,5.7519e+13
215.084,5.80006e+13
215.409,5.84804e+13
215.734,5.89583e+13
216.059,5.94344e+13
216.383,5.99085e+13
216.708,6.03805e+13
217.033,6.08505e+13
217.358,6.13183e+13
217.683,6.17839e+13
218.008,6.22472e+13
218.333,6.27081e+13
218.658,6.31666e+13
218.983,6.36225e+13
219.307,6.40758e+13
219.632,6.45264e+13
219.957,6.49742e+13
220.282,6.5419e+13
220.607,6.58609e+13
220.932,6.62996e+13
221.257,6.67351e+13
221.582,6.71673e+13
221.907,6.7596e+13
222.232,6.80211e+13
222.556,6.81925e+13
222.881,6.82884e+13
223.206,6.8375e+13
223.531,6.84527e+13
223.856,6.85218e+13
224.181,6.85826e+13
224.506,6.86354e+13
224.831,6.86805e+13
225.156,6.87181e+13
225.481,6.87485e+13
225.805,6.87719e+13
226.13,6.87886e+13
226.455,6.87988e+13
226.78,6.88026e+13
227.105,6.88004e+13
227.43,6.87922e+13
227.755,6.87783e+13
228.08,6.87589e+13
228.405,6.87341e+13
228.73,6.87041e+13
229.055,6.8669e+13
229.379,6.8629e+13
229.704,6.85842e+13
230.029,6.85348e+13
230.354,6.8481e+13
230.679,6.84227e+13
231.004,6.83914e+13
231.329,6.83872e+13
231.654,6.83744e+13
231.979,6.83527e+13
232.303,6.83217e+13
232.628,6.82813e+13
232.953,6.82311e+13
233.278,6.81708e+13
233.603,6.81001e+13
233.928,6.80187e+13
234.253,6.79263e+13
234.578,6.78224e+13
234.903,6.77068e+13
235.228,6.75791e+13
235.552,6.74387e+13
235.877,6.72854e+13
236.202,6.71187e+13
236.527,6.69381e+13
236.852,6.67432e+13
237.177,6.65334e+13
237.502,6.63082e+13
237.827,6.60671e+13
238.152,6.58095e+13
238.477,6.55347e+13
238.801,6.52422e+13
239.126,6.49313e+13
239.451,6.45796e+13
239.776,6.4105e+13
240.101,6.36327e+13
240.426,6.31626e+13
240.751,6.26946e+13
241.076,6.22287e+13
241.401,6.17647e+13
241.726,6.13027e+13
242.051,6.08424e+13
242.375,6.0384e+13
242.7,5.99272e+13
243.025,5.94721e+13
243.35,5.90186e+13
243.675,5.85666e+13
244,5.81162e+13
244.325,5.76672e+13
244.65,5.72196e+13
244.975,5.67733e+13
245.299,5.63284e+13
245.624,5.58847e+13
245.949,5.54423e+13
246.274,5.50011e+13
246.599,5.45611e+13
246.924,5.41222e+13
247.249,5.36844e+13
247.574,5.32476e+13
247.899,5.28119e+13
248.224,5.25023e+13
248.548,5.22077e+13
248.873,5.19034e+13
249.198,5.15893e+13
249.523,5.12651e+13
249.848,5.09303e+13
250.173,5.05848e+13
250.498,5.02282e+13
250.823,4.986e+13
251.148,4.94801e+13
251.473,4.9088e+13
251.798,4.86832e+13
252.122,4.82655e+13
252.447,4.78343e+13
252.772,4.73893e+13
253.097,4.69299e+13
253.422,4.64557e+13
253.747,4.59662e+13
254.072,4.54607e+13
254.397,4.49389e+13
254.722,4.44001e+13
255.046,4.38436e+13
255.371,4.32688e+13
255.696,4.26752e+13
256.021,4.20619e+13
256.346,4.14282e+13
256.671,4.08492e+13
256.996,4.03374e+13
257.321,3.98303e+13
257.646,3.93279e+13
257.971,3.883e+13
258.296,3.83364e+13
258.62,3.7847e+13
