#"arc_length" "flux" "flux"
0 4.17636e+10 4.56117e+10
0.32489 4.6284e+10 5.01921e+10
0.649796 5.08341e+10 5.48074e+10
0.974701 5.54127e+10 5.94564e+10
1.29959 6.00184e+10 6.41373e+10
1.6245 6.46507e+10 6.88497e+10
1.9494 6.93085e+10 7.35921e+10
2.27429 7.39906e+10 7.83633e+10
2.5992 7.86967e+10 8.31626e+10
2.9241 8.34258e+10 8.79891e+10
3.24899 8.81767e+10 9.28414e+10
3.5739 9.29493e+10 9.77192e+10
3.8988 9.77426e+10 1.02621e+11
4.22369 1.02556e+11 1.07547e+11
4.5486 1.07388e+11 1.12496e+11
4.87349 1.1224e+11 1.17466e+11
5.19839 1.17109e+11 1.22459e+11
5.5233 1.21997e+11 1.27472e+11
5.84819 1.26901e+11 1.32505e+11
6.1731 1.31822e+11 1.37558e+11
6.498 1.36758e+11 1.42629e+11
6.82289 1.41711e+11 1.47719e+11
7.1478 1.46678e+11 1.52827e+11
7.4727 1.5166e+11 1.57952e+11
7.79759 1.56656e+11 1.63093e+11
8.1225 1.61667e+11 1.68251e+11
8.4474 1.6669e+11 1.73425e+11
8.77229 1.72256e+11 1.79113e+11
9.0972 1.78162e+11 1.85131e+11
9.4221 1.84183e+11 1.91267e+11
9.74699 1.90321e+11 1.97526e+11
10.0719 1.96581e+11 2.03911e+11
10.3968 2.02966e+11 2.10425e+11
10.7217 2.0948e+11 2.17073e+11
11.0466 2.16126e+11 2.23859e+11
11.3715 2.22909e+11 2.30786e+11
11.6964 2.29834e+11 2.3786e+11
12.0213 2.36904e+11 2.45085e+11
12.3462 2.44125e+11 2.52466e+11
12.6711 2.51501e+11 2.60009e+11
12.996 2.59037e+11 2.67717e+11
13.3209 2.66739e+11 2.75597e+11
13.6458 2.74612e+11 2.83655e+11
13.9707 2.82662e+11 2.91896e+11
14.2956 2.90895e+11 3.00327e+11
14.6205 2.99317e+11 3.08955e+11
14.9454 3.07936e+11 3.17786e+11
15.2703 3.16757e+11 3.26827e+11
15.5952 3.25789e+11 3.36086e+11
15.9201 3.35038e+11 3.45571e+11
16.245 3.44514e+11 3.55291e+11
16.5699 3.54224e+11 3.65254e+11
16.8948 3.64176e+11 3.75468e+11
17.2197 3.93351e+11 4.0573e+11
17.5446 4.54929e+11 4.69847e+11
17.8695 5.16224e+11 5.33753e+11
18.1944 5.77252e+11 5.97463e+11
18.5193 6.38018e+11 6.6098e+11
18.8442 6.98531e+11 7.24307e+11
19.1691 7.58804e+11 7.87459e+11
19.494 8.18843e+11 8.50437e+11
19.8189 8.78654e+11 9.13245e+11
20.1438 9.38248e+11 9.75894e+11
20.4687 9.97632e+11 1.03839e+12
20.7936 1.05681e+12 1.10073e+12
21.1185 1.11579e+12 1.16292e+12
21.4434 1.17458e+12 1.22498e+12
21.7683 1.23319e+12 1.28689e+12
22.0932 1.29162e+12 1.34868e+12
22.4181 1.34987e+12 1.41033e+12
22.743 1.40795e+12 1.47187e+12
