#"arc_length" "power_dis" "power_dis"
0 5.54009 5.90868
0.32489 6.08673 6.46818
0.649796 6.63395 7.02939
0.974701 7.18172 7.59224
1.29959 7.72999 8.15664
1.6245 8.27878 8.72258
1.9494 8.82806 9.28999
2.27429 9.37778 9.85879
2.5992 9.92798 10.429
2.9241 10.4786 11.0005
3.24899 11.0297 11.5732
3.5739 11.5811 12.1473
3.8988 12.133 12.7225
4.22369 12.6852 13.2988
4.5486 13.2378 13.8763
4.87349 13.7908 14.4548
5.19839 14.3441 15.0344
5.5233 14.8977 15.615
5.84819 15.4517 16.1966
6.1731 16.006 16.7791
6.498 16.5606 17.3626
6.82289 17.1154 17.9469
7.1478 17.6706 18.5321
7.4727 18.2261 19.1182
7.79759 18.7818 19.7051
8.1225 19.3378 20.2927
8.4474 19.894 20.8812
8.77229 20.5374 21.5507
9.0972 21.2308 22.2681
9.4221 21.9364 22.9987
9.74699 22.6546 23.7426
10.0719 23.3856 24.5005
10.3968 24.13 25.2726
10.7217 24.888 26.0595
11.0466 25.6602 26.8615
11.3715 26.4469 27.6792
11.6964 27.2487 28.513
12.0213 28.0659 29.3635
12.3462 28.8991 30.2312
12.6711 29.7489 31.1166
12.996 30.6157 32.0203
13.3209 31.5 32.943
13.6458 32.4026 33.8852
13.9707 33.3241 34.8476
14.2956 34.2649 35.831
14.6205 35.226 36.836
14.9454 36.2078 37.8634
15.2703 37.2112 38.914
15.5952 38.2371 39.9887
15.9201 39.286 41.0882
16.245 40.359 42.2135
16.5699 41.4569 43.3657
16.8948 42.5807 44.5456
17.2197 44.9912 47.0861
17.5446 49.5298 51.8847
17.8695 54.011 56.6342
18.1944 58.4372 61.3369
18.5193 62.8102 65.9942
18.8442 67.1317 70.6075
19.1691 71.4039 75.1788
19.494 75.6283 79.7094
19.8189 79.8063 84.2004
20.1438 83.94 88.6536
20.4687 88.0306 93.0701
20.7936 92.0794 97.4509
21.1185 96.0881 101.798
21.4434 100.058 106.111
21.7683 103.99 110.392
22.0932 107.885 114.642
22.4181 111.745 118.862
22.743 115.571 123.052
23.0679 119.363 127.215
23.3928 123.124 131.35
23.7177 126.853 135.458
24.0426 130.552 139.54
24.3675 134.221 143.598
24.6924 137.862 147.631
25.0173 141.475 151.64
25.3422 145.062 155.626
25.6671 148.667 159.632
25.992 153.1 164.399
26.3169 157.585 169.228
26.6418 162.125 174.121
26.9667 166.722 179.079
27.2916 171.376 184.106
27.6165 176.09 189.202
27.9414 180.866 194.37
28.2663 185.705 199.612
28.5912 190.609 204.93
28.9161 195.581 210.327
29.241 200.623 215.806
