###"arc_length","fluxdis11","fluxdis15","fluxdis19","fluxdis23","fluxdis27","fluxdis7"
0,3.40917e+10,5.01453e+10,5.61893e+10,9.00068e+10,7.96443e+10,3.43287e+10
0.32489,3.7968e+10,5.69223e+10,6.50639e+10,1.00284e+11,8.74856e+10,3.46668e+10
0.649796,4.19246e+10,6.3767e+10,7.39665e+10,1.10579e+11,9.53414e+10,3.50691e+10
0.974701,4.59584e+10,7.06766e+10,8.28957e+10,1.20891e+11,1.03211e+11,3.55332e+10
1.29959,5.00663e+10,7.76484e+10,9.18501e+10,1.31219e+11,1.11093e+11,3.60568e+10
1.6245,5.42462e+10,8.46809e+10,1.0083e+11,1.41563e+11,1.18989e+11,3.66379e+10
1.9494,5.84953e+10,9.17715e+10,1.09833e+11,1.51922e+11,1.26896e+11,3.72743e+10
2.27429,6.28109e+10,9.8918e+10,1.18859e+11,1.62295e+11,1.34816e+11,3.79642e+10
2.5992,6.71912e+10,1.06119e+11,1.27907e+11,1.72683e+11,1.42747e+11,3.87057e+10
2.9241,7.16338e+10,1.13372e+11,1.36977e+11,1.83084e+11,1.50689e+11,3.94971e+10
3.24899,7.61363e+10,1.20676e+11,1.46067e+11,1.93499e+11,1.58641e+11,4.03366e+10
3.5739,8.06972e+10,1.28029e+11,1.55177e+11,2.03926e+11,1.66604e+11,4.12228e+10
3.8988,8.53144e+10,1.35429e+11,1.64307e+11,2.14366e+11,1.74577e+11,4.21539e+10
4.22369,8.99857e+10,1.42875e+11,1.73456e+11,2.24817e+11,1.82559e+11,4.31286e+10
4.5486,9.471e+10,1.50365e+11,1.82622e+11,2.35281e+11,1.90551e+11,4.41455e+10
4.87349,9.94849e+10,1.57898e+11,1.91806e+11,2.45754e+11,1.98552e+11,4.52031e+10
5.19839,1.04309e+11,1.65472e+11,2.01007e+11,2.5624e+11,2.06562e+11,4.63004e+10
5.5233,1.09182e+11,1.73087e+11,2.10225e+11,2.66736e+11,2.1458e+11,4.74359e+10
5.84819,1.141e+11,1.8074e+11,2.19458e+11,2.77241e+11,2.22606e+11,4.86084e+10
6.1731,1.19064e+11,1.88432e+11,2.28708e+11,2.87757e+11,2.3064e+11,4.9817e+10
6.498,1.24071e+11,1.9616e+11,2.37972e+11,2.98282e+11,2.38683e+11,5.10604e+10
6.82289,1.2912e+11,2.03924e+11,2.4725e+11,3.08816e+11,2.46732e+11,5.23376e+10
7.1478,1.34211e+11,2.11722e+11,2.56543e+11,3.1936e+11,2.54789e+11,5.36477e+10
7.4727,1.39341e+11,2.19553e+11,2.65849e+11,3.29912e+11,2.62853e+11,5.49896e+10
7.79759,1.4451e+11,2.27417e+11,2.75168e+11,3.40472e+11,2.70923e+11,5.63624e+10
8.1225,1.49716e+11,2.35313e+11,2.84501e+11,3.51041e+11,2.79001e+11,5.77653e+10
8.4474,1.54959e+11,2.43239e+11,2.93846e+11,3.61618e+11,2.87085e+11,5.91974e+10
8.77229,1.60276e+11,2.51814e+11,3.04471e+11,3.73779e+11,2.96374e+11,6.02279e+10
9.0972,1.65722e+11,2.6083e+11,3.15853e+11,3.8686e+11,3.06364e+11,6.10998e+10
9.4221,1.71297e+11,2.70031e+11,3.27444e+11,4.00175e+11,3.16532e+11,6.20146e+10
9.74699,1.77004e+11,2.79421e+11,3.39248e+11,4.13728e+11,3.26883e+11,6.29736e+10
10.0719,1.82847e+11,2.89007e+11,3.51273e+11,4.27529e+11,3.37423e+11,6.39783e+10
10.3968,1.88831e+11,2.98794e+11,3.63524e+11,4.41583e+11,3.48157e+11,6.50298e+10
10.7217,1.9496e+11,3.0879e+11,3.7601e+11,4.559e+11,3.59092e+11,6.61298e+10
11.0466,2.01238e+11,3.18999e+11,3.88737e+11,4.70487e+11,3.70233e+11,6.72797e+10
11.3715,2.0767e+11,3.29429e+11,4.01712e+11,4.85351e+11,3.81587e+11,6.84809e+10
11.6964,2.1426e+11,3.40086e+11,4.14944e+11,5.00504e+11,3.93161e+11,6.97351e+10
12.0213,2.21015e+11,3.50979e+11,4.28441e+11,5.15952e+11,4.04962e+11,7.10441e+10
12.3462,2.27938e+11,3.62113e+11,4.4221e+11,5.31706e+11,4.16996e+11,7.24095e+10
12.6711,2.35035e+11,3.73498e+11,4.56262e+11,5.47776e+11,4.29272e+11,7.38332e+10
12.996,2.42313e+11,3.85141e+11,4.70605e+11,5.64172e+11,4.41797e+11,7.53172e+10
13.3209,2.49777e+11,3.97051e+11,4.85248e+11,5.80904e+11,4.54579e+11,7.68632e+10
13.6458,2.57433e+11,4.09237e+11,5.00203e+11,5.97985e+11,4.67628e+11,7.84736e+10
13.9707,2.65288e+11,4.21708e+11,5.15479e+11,6.15426e+11,4.80952e+11,8.01505e+10
14.2956,2.73349e+11,4.34474e+11,5.31087e+11,6.33238e+11,4.9456e+11,8.1896e+10
14.6205,2.81622e+11,4.47545e+11,5.47039e+11,6.51436e+11,5.08464e+11,8.37126e+10
14.9454,2.90116e+11,4.60933e+11,5.63348e+11,6.70033e+11,5.22672e+11,8.56029e+10
15.2703,2.98838e+11,4.74646e+11,5.80024e+11,6.89041e+11,5.37195e+11,8.75694e+10
15.5952,3.07796e+11,4.887e+11,5.97083e+11,7.08478e+11,5.52046e+11,8.96148e+10
15.9201,3.16998e+11,5.03104e+11,6.14537e+11,7.28357e+11,5.67235e+11,9.1742e+10
16.245,3.26455e+11,5.17872e+11,6.32401e+11,7.48696e+11,5.82776e+11,9.39541e+10
16.5699,3.36175e+11,5.33018e+11,6.50692e+11,7.69512e+11,5.98681e+11,9.62542e+10
16.8948,3.46168e+11,5.48556e+11,6.69423e+11,7.90821e+11,6.14964e+11,9.86454e+10
17.2197,3.9111e+11,5.99299e+11,7.21515e+11,8.43712e+11,6.49591e+11,1.25146e+11
17.5446,4.95743e+11,7.09463e+11,8.29556e+11,9.4908e+11,7.14361e+11,1.93784e+11
17.8695,6.00612e+11,8.191e+11,9.36738e+11,1.0531e+12,7.78054e+11,2.63747e+11
18.1944,7.05718e+11,9.28238e+11,1.0431e+12,1.15582e+12,8.40716e+11,3.34994e+11
18.5193,8.11048e+11,1.03689e+12,1.14867e+12,1.2573e+12,9.02381e+11,4.07476e+11
18.8442,9.16588e+11,1.14507e+12,1.25347e+12,1.35756e+12,9.6308e+11,4.81145e+11
19.1691,1.02234e+12,1.25281e+12,1.35754e+12,1.45666e+12,1.02285e+12,5.55966e+11
19.494,1.1283e+12,1.3601e+12,1.46089e+12,1.55465e+12,1.08173e+12,6.31896e+11
19.8189,1.23444e+12,1.46698e+12,1.56356e+12,1.65154e+12,1.13974e+12,7.08893e+11
20.1438,1.34078e+12,1.57345e+12,1.66556e+12,1.74739e+12,1.19692e+12,7.86928e+11
20.4687,1.4473e+12,1.67952e+12,1.76692e+12,1.84222e+12,1.25329e+12,8.65963e+11
20.7936,1.55399e+12,1.78522e+12,1.86765e+12,1.93608e+12,1.30888e+12,9.4596e+11
21.1185,1.66085e+12,1.89055e+12,1.96779e+12,2.02899e+12,1.36371e+12,1.0269e+12
21.4434,1.76787e+12,1.99552e+12,2.06734e+12,2.12098e+12,1.41781e+12,1.10873e+12
21.7683,1.87506e+12,2.10015e+12,2.16633e+12,2.21209e+12,1.47121e+12,1.19145e+12
22.0932,1.98239e+12,2.20445e+12,2.26478e+12,2.30234e+12,1.52392e+12,1.27501e+12
22.4181,2.08988e+12,2.30842e+12,2.3627e+12,2.39176e+12,1.57597e+12,1.35939e+12
22.743,2.19751e+12,2.41208e+12,2.46011e+12,2.48037e+12,1.62738e+12,1.44457e+12
23.0679,2.30528e+12,2.51544e+12,2.55702e+12,2.5682e+12,1.67816e+12,1.53052e+12
23.3928,2.41318e+12,2.6185e+12,2.65345e+12,2.65528e+12,1.72834e+12,1.61721e+12
23.7177,2.52122e+12,2.72128e+12,2.74942e+12,2.74162e+12,1.77793e+12,1.70463e+12
24.0426,2.62939e+12,2.82379e+12,2.84494e+12,2.82725e+12,1.82696e+12,1.79276e+12
24.3675,2.73767e+12,2.92602e+12,2.94002e+12,2.91219e+12,1.87543e+12,1.88156e+12
24.6924,2.84608e+12,3.028e+12,3.03467e+12,2.99646e+12,1.92338e+12,1.97103e+12
25.0173,2.95461e+12,3.12972e+12,3.12891e+12,3.08007e+12,1.9708e+12,2.06114e+12
25.3422,3.06325e+12,3.2312e+12,3.22275e+12,3.16306e+12,2.01771e+12,2.15187e+12
25.6671,3.17269e+12,3.33344e+12,3.31726e+12,3.24665e+12,2.06492e+12,2.24314e+12
25.992,3.29587e+12,3.45462e+12,3.43156e+12,3.35268e+12,2.1263e+12,2.33451e+12
26.3169,3.42133e+12,3.57771e+12,3.54752e+12,3.46001e+12,2.18828e+12,2.42805e+12
26.6418,3.54915e+12,3.70279e+12,3.66519e+12,3.56868e+12,2.25091e+12,2.52384e+12
26.9667,3.67938e+12,3.82991e+12,3.78462e+12,3.67874e+12,2.31419e+12,2.62193e+12
27.2916,3.81212e+12,3.95913e+12,3.90586e+12,3.79022e+12,2.37815e+12,2.7224e+12
27.6165,3.94743e+12,4.09051e+12,4.02898e+12,3.90316e+12,2.4428e+12,2.82532e+12
27.9414,4.08539e+12,4.22412e+12,4.15401e+12,4.01762e+12,2.50817e+12,2.93075e+12
28.2663,4.22608e+12,4.36004e+12,4.28103e+12,4.13363e+12,2.57427e+12,3.03879e+12
28.5912,4.3696e+12,4.49832e+12,4.4101e+12,4.25125e+12,2.64114e+12,3.14951e+12
28.9161,4.51601e+12,4.63904e+12,4.54127e+12,4.37053e+12,2.7088e+12,3.26298e+12
29.241,4.66542e+12,4.78229e+12,4.67463e+12,4.49152e+12,2.77726e+12,3.37932e+12
29.5659,4.81794e+12,4.92815e+12,4.81023e+12,4.61427e+12,2.84656e+12,3.4986e+12
29.8908,4.97364e+12,5.07669e+12,4.94815e+12,4.73884e+12,2.91673e+12,3.62092e+12
30.2157,5.13265e+12,5.22801e+12,5.08847e+12,4.8653e+12,2.98779e+12,3.74638e+12
30.5406,5.29507e+12,5.3822e+12,5.23127e+12,4.9937e+12,3.05977e+12,3.87509e+12
30.8655,5.46101e+12,5.53935e+12,5.37663e+12,5.12411e+12,3.1327e+12,4.00715e+12
31.1904,5.6306e+12,5.69958e+12,5.52463e+12,5.2566e+12,3.20662e+12,4.14268e+12
31.5153,5.80396e+12,5.86297e+12,5.67538e+12,5.39124e+12,3.28156e+12,4.2818e+12
31.8402,5.98122e+12,6.02965e+12,5.82895e+12,5.52811e+12,3.35755e+12,4.42463e+12
32.1651,6.16252e+12,6.19973e+12,5.98546e+12,5.66728e+12,3.43463e+12,4.5713e+12
32.49,6.348e+12,6.37332e+12,6.14501e+12,5.80882e+12,3.51285e+12,4.72195e+12
32.8149,6.53782e+12,6.55056e+12,6.30771e+12,5.95285e+12,3.59223e+12,4.87673e+12
33.1398,6.73214e+12,6.73158e+12,6.47367e+12,6.09944e+12,3.67284e+12,5.03579e+12
33.4647,6.9311e+12,6.91652e+12,6.643e+12,6.24868e+12,3.7547e+12,5.19927e+12
33.7896,7.13491e+12,7.10553e+12,6.81585e+12,6.40068e+12,3.83786e+12,5.36735e+12
34.1145,7.34373e+12,7.29876e+12,6.99235e+12,6.55554e+12,3.92239e+12,5.54021e+12
34.4394,7.92129e+12,7.69935e+12,7.2765e+12,6.71678e+12,3.97905e+12,6.24697e+12
34.7643,8.61979e+12,8.16574e+12,7.59084e+12,6.87435e+12,4.02337e+12,7.13603e+12
35.0892,9.30757e+12,8.62399e+12,7.89692e+12,7.02601e+12,4.06536e+12,8.01695e+12
35.4141,9.98506e+12,9.07442e+12,8.19504e+12,7.17197e+12,4.10511e+12,8.89006e+12
35.739,1.06526e+13,9.51729e+12,8.48548e+12,7.31245e+12,4.1427e+12,9.75559e+12
36.0639,1.13105e+13,9.95286e+12,8.76851e+12,7.44763e+12,4.17821e+12,1.06138e+13
36.3888,1.19592e+13,1.03814e+13,9.0444e+12,7.5777e+12,4.21171e+12,1.14651e+13
36.7137,1.2599e+13,1.08032e+13,9.3134e+12,7.70285e+12,4.24328e+12,1.23095e+13
37.0386,1.32301e+13,1.12184e+13,9.57573e+12,7.82323e+12,4.27296e+12,1.31474e+13
37.3635,1.38529e+13,1.16273e+13,9.83163e+12,7.93901e+12,4.30084e+12,1.3979e+13
37.6884,1.44676e+13,1.203e+13,1.00813e+13,8.05034e+12,4.32696e+12,1.48044e+13
38.0133,1.50745e+13,1.24269e+13,1.0325e+13,8.15737e+12,4.3514e+12,1.56239e+13
38.3382,1.56739e+13,1.2818e+13,1.05628e+13,8.26024e+12,4.3742e+12,1.64377e+13
38.6631,1.6266e+13,1.32035e+13,1.0795e+13,8.35908e+12,4.39541e+12,1.72459e+13
38.988,1.68511e+13,1.35837e+13,1.10218e+13,8.45403e+12,4.41509e+12,1.80488e+13
39.3129,1.74293e+13,1.39588e+13,1.12433e+13,8.5452e+12,4.43329e+12,1.88465e+13
39.6378,1.80009e+13,1.43287e+13,1.14597e+13,8.63272e+12,4.45005e+12,1.96392e+13
39.9627,1.85661e+13,1.46939e+13,1.16711e+13,8.7167e+12,4.46542e+12,2.0427e+13
40.2876,1.91251e+13,1.50542e+13,1.18777e+13,8.79725e+12,4.47943e+12,2.12101e+13
40.6125,1.9678e+13,1.541e+13,1.20797e+13,8.87447e+12,4.49214e+12,2.19886e+13
40.9374,2.02251e+13,1.57614e+13,1.22771e+13,8.94845e+12,4.50358e+12,2.27626e+13
41.2623,2.07665e+13,1.61085e+13,1.24702e+13,9.01931e+12,4.51378e+12,2.35324e+13
41.5872,2.13024e+13,1.64513e+13,1.2659e+13,9.08713e+12,4.52279e+12,2.42979e+13
41.9121,2.18329e+13,1.67901e+13,1.28437e+13,9.152e+12,4.53064e+12,2.50594e+13
42.237,2.23583e+13,1.7125e+13,1.30244e+13,9.214e+12,4.53736e+12,2.5817e+13
42.5619,2.28786e+13,1.7456e+13,1.32012e+13,9.27322e+12,4.54299e+12,2.65707e+13
42.8868,2.3456e+13,1.78183e+13,1.34011e+13,9.33809e+12,4.54553e+12,2.7394e+13
43.2117,2.41223e+13,1.82302e+13,1.36372e+13,9.41285e+12,4.54433e+12,2.8326e+13
43.5366,2.47956e+13,1.86459e+13,1.38739e+13,9.48646e+12,4.54219e+12,2.92707e+13
43.8615,2.54763e+13,1.90654e+13,1.41113e+13,9.55887e+12,4.53906e+12,3.02287e+13
44.1864,2.61645e+13,1.94889e+13,1.43494e+13,9.63005e+12,4.53492e+12,3.12003e+13
44.5113,2.68605e+13,1.99166e+13,1.45882e+13,9.69996e+12,4.52975e+12,3.21859e+13
44.8362,2.75646e+13,2.03485e+13,1.48277e+13,9.76857e+12,4.5235e+12,3.31859e+13
45.1611,2.82769e+13,2.07848e+13,1.50679e+13,9.83583e+12,4.51615e+12,3.42009e+13
45.486,2.89978e+13,2.12256e+13,1.53089e+13,9.9017e+12,4.50767e+12,3.52312e+13
45.8109,2.97274e+13,2.1671e+13,1.55506e+13,9.96615e+12,4.49801e+12,3.62773e+13
46.1358,3.04661e+13,2.21213e+13,1.57931e+13,1.00291e+13,4.48714e+12,3.73397e+13
46.4607,3.12142e+13,2.25765e+13,1.60365e+13,1.00906e+13,4.47502e+12,3.8419e+13
46.7856,3.19719e+13,2.30368e+13,1.62808e+13,1.01504e+13,4.46161e+12,3.95157e+13
47.1105,3.27396e+13,2.35024e+13,1.65259e+13,1.02087e+13,4.44687e+12,4.06303e+13
47.4354,3.35176e+13,2.39735e+13,1.67719e+13,1.02652e+13,4.43075e+12,4.17635e+13
47.7603,3.43063e+13,2.44502e+13,1.70189e+13,1.03201e+13,4.41321e+12,4.29159e+13
48.0852,3.5106e+13,2.49327e+13,1.72668e+13,1.03731e+13,4.39421e+12,4.40881e+13
48.4101,3.59171e+13,2.54212e+13,1.75158e+13,1.04243e+13,4.37368e+12,4.52808e+13
48.735,3.67399e+13,2.5916e+13,1.77658e+13,1.04736e+13,4.35158e+12,4.64947e+13
49.0599,3.7575e+13,2.64172e+13,1.80169e+13,1.05209e+13,4.32786e+12,4.77306e+13
49.3848,3.84226e+13,2.69252e+13,1.82691e+13,1.05661e+13,4.30245e+12,4.89891e+13
49.7097,3.92834e+13,2.744e+13,1.85224e+13,1.06092e+13,4.2753e+12,5.02712e+13
50.0346,4.01577e+13,2.7962e+13,1.8777e+13,1.06501e+13,4.24633e+12,5.15778e+13
50.3595,4.1046e+13,2.84914e+13,1.90328e+13,1.06887e+13,4.2155e+12,5.29096e+13
50.6844,4.1949e+13,2.90286e+13,1.92899e+13,1.07249e+13,4.18271e+12,5.42676e+13
51.0093,4.2867e+13,2.95737e+13,1.95483e+13,1.07587e+13,4.14792e+12,5.56528e+13
51.3342,4.38569e+13,3.01637e+13,1.9817e+13,1.07912e+13,4.11141e+12,5.71857e+13
51.6591,4.53054e+13,3.10559e+13,2.01585e+13,1.08369e+13,4.07971e+12,5.97089e+13
51.984,4.67081e+13,3.19266e+13,2.04951e+13,1.08889e+13,4.05236e+12,6.21663e+13
52.3089,4.80667e+13,3.27766e+13,2.0827e+13,1.09471e+13,4.02919e+12,6.45603e+13
52.6338,4.93828e+13,3.36065e+13,2.11542e+13,1.10111e+13,4.01007e+12,6.68931e+13
52.9587,5.06578e+13,3.44172e+13,2.14771e+13,1.10809e+13,3.99485e+12,6.9167e+13
53.2836,5.18934e+13,3.52094e+13,2.17956e+13,1.11562e+13,3.98338e+12,7.1384e+13
53.6085,5.30907e+13,3.59835e+13,2.21101e+13,1.12367e+13,3.97554e+12,7.35461e+13
53.9334,5.42511e+13,3.67404e+13,2.24206e+13,1.13224e+13,3.9712e+12,7.56552e+13
54.2583,5.5376e+13,3.74805e+13,2.27272e+13,1.14131e+13,3.97025e+12,7.77131e+13
54.5832,5.64665e+13,3.82045e+13,2.30301e+13,1.15085e+13,3.97256e+12,7.97215e+13
54.9081,5.75236e+13,3.89128e+13,2.33295e+13,1.16085e+13,3.97804e+12,8.16821e+13
55.233,5.85486e+13,3.9606e+13,2.36253e+13,1.1713e+13,3.98657e+12,8.35965e+13
55.5579,5.95425e+13,4.02846e+13,2.39178e+13,1.18219e+13,3.99805e+12,8.54661e+13
55.8828,6.05063e+13,4.0949e+13,2.42071e+13,1.19349e+13,4.0124e+12,8.72924e+13
56.2077,6.14409e+13,4.15998e+13,2.44932e+13,1.2052e+13,4.02952e+12,8.90768e+13
56.5326,6.23473e+13,4.22373e+13,2.47763e+13,1.2173e+13,4.04932e+12,9.08206e+13
56.8575,6.32264e+13,4.28619e+13,2.50564e+13,1.22978e+13,4.07172e+12,9.25251e+13
57.1824,6.40789e+13,4.3474e+13,2.53336e+13,1.24262e+13,4.09663e+12,9.41915e+13
57.5073,6.49057e+13,4.40741e+13,2.56081e+13,1.25583e+13,4.12399e+12,9.58209e+13
57.8322,6.57076e+13,4.46625e+13,2.58799e+13,1.26938e+13,4.15372e+12,9.74145e+13
58.1571,6.64854e+13,4.52396e+13,2.61491e+13,1.28327e+13,4.18574e+12,9.89733e+13
58.482,6.72397e+13,4.58056e+13,2.64158e+13,1.29748e+13,4.21999e+12,1.00498e+14
58.8069,6.79712e+13,4.63609e+13,2.668e+13,1.31201e+13,4.2564e+12,1.01991e+14
59.1318,6.86806e+13,4.69058e+13,2.69418e+13,1.32685e+13,4.29491e+12,1.03451e+14
59.4567,6.93686e+13,4.74407e+13,2.72013e+13,1.34198e+13,4.33546e+12,1.04881e+14
59.7816,7.00357e+13,4.79657e+13,2.74586e+13,1.35741e+13,4.378e+12,1.06281e+14
60.1065,7.09692e+13,4.8624e+13,2.77544e+13,1.37133e+13,4.41337e+12,1.08061e+14
60.4314,7.1977e+13,4.93232e+13,2.8065e+13,1.38533e+13,4.44892e+12,1.09952e+14
60.7563,7.2985e+13,5.00267e+13,2.83804e+13,1.39994e+13,4.48723e+12,1.1185e+14
61.0812,7.39931e+13,5.07347e+13,2.87008e+13,1.41519e+13,4.52838e+12,1.13755e+14
61.4061,7.50014e+13,5.14473e+13,2.90262e+13,1.43107e+13,4.57245e+12,1.15666e+14
61.731,7.60097e+13,5.21647e+13,2.93569e+13,1.44763e+13,4.61954e+12,1.17584e+14
62.0559,7.70181e+13,5.28869e+13,2.96929e+13,1.46487e+13,4.66974e+12,1.1951e+14
62.3808,7.80267e+13,5.36142e+13,3.00346e+13,1.48281e+13,4.72313e+12,1.21442e+14
62.7057,7.90354e+13,5.43466e+13,3.0382e+13,1.50149e+13,4.77982e+12,1.23383e+14
63.0306,8.00442e+13,5.50844e+13,3.07353e+13,1.52091e+13,4.83991e+12,1.25331e+14
63.3555,8.10532e+13,5.58278e+13,3.10947e+13,1.54112e+13,4.90352e+12,1.27287e+14
63.6804,8.20623e+13,5.65769e+13,3.14604e+13,1.56212e+13,4.97075e+12,1.29252e+14
64.0053,8.30715e+13,5.73318e+13,3.18326e+13,1.58395e+13,5.04172e+12,1.31226e+14
64.3302,8.4081e+13,5.80929e+13,3.22115e+13,1.60664e+13,5.11656e+12,1.33208e+14
64.6551,8.50905e+13,5.88602e+13,3.25974e+13,1.63021e+13,5.19539e+12,1.352e+14
64.98,8.61002e+13,5.9634e+13,3.29904e+13,1.65469e+13,5.27835e+12,1.37201e+14
65.3049,8.71101e+13,6.04145e+13,3.33909e+13,1.68011e+13,5.36557e+12,1.39212e+14
65.6298,8.81201e+13,6.1202e+13,3.37991e+13,1.70651e+13,5.45721e+12,1.41233e+14
65.9547,8.91304e+13,6.19967e+13,3.42152e+13,1.73391e+13,5.55341e+12,1.43265e+14
66.2796,9.01408e+13,6.27988e+13,3.46395e+13,1.76236e+13,5.65434e+12,1.45308e+14
66.6045,9.11514e+13,6.36086e+13,3.50723e+13,1.79189e+13,5.76016e+12,1.47362e+14
66.9294,9.21621e+13,6.44264e+13,3.55139e+13,1.82255e+13,5.87105e+12,1.49427e+14
67.2543,9.31731e+13,6.52524e+13,3.59647e+13,1.85436e+13,5.98719e+12,1.51505e+14
67.5792,9.41843e+13,6.60871e+13,3.6425e+13,1.88738e+13,6.10879e+12,1.53596e+14
67.9041,9.51958e+13,6.69306e+13,3.6895e+13,1.92164e+13,6.23603e+12,1.55699e+14
68.229,9.62074e+13,6.77834e+13,3.73753e+13,1.9572e+13,6.36914e+12,1.57816e+14
68.5539,9.7511e+13,6.87441e+13,3.78771e+13,1.98646e+13,6.47443e+12,1.60157e+14
68.8788,9.90944e+13,6.97932e+13,3.83865e+13,2.00772e+13,6.54467e+12,1.62667e+14
69.2037,1.00619e+14,7.08111e+13,3.8886e+13,2.02914e+13,6.61617e+12,1.65087e+14
69.5286,1.02087e+14,7.17991e+13,3.9376e+13,2.05072e+13,6.68891e+12,1.67421e+14
69.8535,1.03501e+14,7.27582e+13,3.98568e+13,2.07246e+13,6.76282e+12,1.69672e+14
70.1784,1.04862e+14,7.36895e+13,4.03288e+13,2.09435e+13,6.83788e+12,1.71843e+14
70.5033,1.06173e+14,7.45939e+13,4.07923e+13,2.11639e+13,6.91404e+12,1.73937e+14
70.8282,1.07435e+14,7.54724e+13,4.12475e+13,2.13857e+13,6.99126e+12,1.75957e+14
71.1531,1.08649e+14,7.63258e+13,4.16948e+13,2.16088e+13,7.0695e+12,1.77905e+14
