#"arc_length" "flux" "flux"
0 4.17635e+10 4.56116e+10
0.32489 4.17635e+10 4.56116e+10
0.649796 4.17635e+10 4.56116e+10
0.974701 4.17635e+10 4.56116e+10
1.29959 4.17635e+10 4.56116e+10
1.6245 4.17635e+10 4.56116e+10
1.9494 4.17635e+10 4.56116e+10
2.27429 4.17635e+10 4.56116e+10
2.5992 4.17635e+10 4.56116e+10
2.9241 4.17635e+10 4.56116e+10
3.24899 4.17635e+10 4.56116e+10
3.5739 4.17635e+10 4.56116e+10
3.8988 4.17635e+10 4.56116e+10
4.22369 4.17635e+10 4.56116e+10
4.5486 4.17635e+10 4.56116e+10
4.87349 4.17635e+10 4.56116e+10
5.19839 4.17635e+10 4.56116e+10
5.5233 4.17635e+10 4.56116e+10
5.84819 4.17635e+10 4.56116e+10
6.1731 4.17635e+10 4.56116e+10
6.498 4.17635e+10 4.56116e+10
6.82289 4.17635e+10 4.56116e+10
7.1478 4.17635e+10 4.56116e+10
7.4727 4.17635e+10 4.56116e+10
7.79759 4.17635e+10 4.56116e+10
8.1225 4.17635e+10 4.56116e+10
8.4474 4.17635e+10 4.56116e+10
8.77229 4.17635e+10 4.56116e+10
9.0972 4.17635e+10 4.56116e+10
9.4221 4.17635e+10 4.56116e+10
9.74699 4.17635e+10 4.56116e+10
10.0719 4.17635e+10 4.56116e+10
10.3968 4.17635e+10 4.56116e+10
10.7217 4.17635e+10 4.56116e+10
11.0466 4.17635e+10 4.56116e+10
11.3715 4.17635e+10 4.56116e+10
11.6964 4.17635e+10 4.56116e+10
12.0213 4.17635e+10 4.56116e+10
12.3462 4.17635e+10 4.56116e+10
12.6711 4.17635e+10 4.56116e+10
12.996 4.17635e+10 4.56116e+10
13.3209 4.17635e+10 4.56116e+10
13.6458 4.17635e+10 4.56116e+10
13.9707 4.17635e+10 4.56116e+10
14.2956 4.17635e+10 4.56116e+10
14.6205 4.17635e+10 4.56116e+10
14.9454 4.17635e+10 4.56116e+10
15.2703 4.17635e+10 4.56116e+10
15.5952 4.17635e+10 4.56116e+10
15.9201 4.17635e+10 4.56116e+10
16.245 4.17635e+10 4.56116e+10
16.5699 4.17635e+10 4.56116e+10
16.8948 4.17635e+10 4.56116e+10
17.2197 8.99897e+11 9.2925e+11
17.5446 8.99897e+11 9.2925e+11
17.8695 8.99897e+11 9.2925e+11
18.1944 8.99897e+11 9.2925e+11
18.5193 8.99897e+11 9.2925e+11
18.8442 8.99897e+11 9.2925e+11
19.1691 8.99897e+11 9.2925e+11
19.494 8.99897e+11 9.2925e+11
19.8189 8.99897e+11 9.2925e+11
20.1438 8.99897e+11 9.2925e+11
20.4687 8.99897e+11 9.2925e+11
20.7936 8.99897e+11 9.2925e+11
21.1185 8.99897e+11 9.2925e+11
21.4434 8.99897e+11 9.2925e+11
21.7683 8.99897e+11 9.2925e+11
22.0932 8.99897e+11 9.2925e+11
22.4181 8.99897e+11 9.2925e+11
22.743 8.99897e+11 9.2925e+11
23.0679 8.99897e+11 9.2925e+11
23.3928 8.99897e+11 9.2925e+11
23.7177 8.99897e+11 9.2925e+11
24.0426 8.99897e+11 9.2925e+11
24.3675 8.99897e+11 9.2925e+11
24.6924 8.99897e+11 9.2925e+11
25.0173 8.99897e+11 9.2925e+11
25.3422 8.99897e+11 9.2925e+11
